Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken_min,Day_Ordered,Month_Ordered,Year_Ordered
34.0,4.7,15.56155,73.749092,15.58155,73.769092,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,26,17,2,2022
31.0,4.2,22.753659,75.903365,22.833659,75.983365,Windy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,41,2,4,2022
38.0,4.6,11.000762,76.981876,11.110762,77.091876,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,23,14,3,2022
32.0,4.8,12.316967,76.603067,12.386967,76.673067,Sandstorms,Low,2,Snack,scooter,0.0,No,Metropolitian,17,18,3,2022
33.0,4.7,12.949934,77.699386,13.029934,77.779386,Fog,Medium,2,Meal,electric_scooter,1.0,No,Urban,30,16,3,2022
35.0,4.8,12.914264,77.6784,12.924264,77.6884,Sunny,Low,2,Snack,scooter,1.0,No,Metropolitian,12,3,4,2022
25.0,4.1,22.310237,73.158921,22.370237,73.218921,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,37,1,4,2022
33.0,5.0,22.74806,75.8934,22.77806,75.9234,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,34,5,3,2022
35.0,4.9,23.333017,85.3172,23.423017,85.4072,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,15,4,3,2022
35.0,4.3,23.369746,85.33982,23.419746,85.38982,Sandstorms,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,33,7,3,2022
36.0,,-9.970717,76.285447,10.000717,76.315447,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,28,17,2,2022
21.0,4.7,19.121999,72.908493,19.201999,72.988493,Fog,Jam,0,Drinks,motorcycle,0.0,No,Urban,35,18,3,2022
27.0,4.6,0.0,0.0,0.09,0.09,Sandstorms,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,33,12,2,2022
21.0,4.9,17.45971,78.368855,17.52971,78.438855,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,17,2,3,2022
21.0,4.0,19.003517,72.82765,19.023517,72.84765,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,18,5,3,2022
35.0,4.8,19.121999,72.908493,19.191999,72.978493,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,36,20,3,2022
38.0,4.6,26.913987,75.752891,26.973987,75.812891,Fog,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,15,11,3,2022
20.0,4.5,23.359194,85.325447,23.409194,85.375447,Windy,Jam,2,Meal,scooter,0.0,No,Metropolitian,19,11,3,2022
39.0,4.7,12.323978,76.627961,12.333978,76.637961,Sandstorms,Low,1,Buffet,scooter,0.0,No,Metropolitian,21,5,4,2022
31.0,4.9,22.722634,75.886959,22.762634,75.926959,Stormy,Medium,1,Snack,motorcycle,1.0,No,Urban,30,1,3,2022
28.0,4.8,17.41233,78.449654,17.46233,78.499654,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,28,26,3,2022
32.0,4.9,21.149834,72.778666,21.219834,72.848666,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,20,4,4,2022
20.0,4.5,26.849596,75.800512,26.959596,75.910512,Stormy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,24,10,3,2022
35.0,5.0,17.431477,78.40035,17.441477,78.41035,Cloudy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,33,21,3,2022
37.0,4.7,12.979166,77.640709,13.019166,77.680709,Stormy,High,2,Buffet,scooter,1.0,No,Metropolitian,27,5,4,2022
36.0,4.9,13.091809,80.219104,13.201809,80.329104,Cloudy,Medium,2,Meal,scooter,2.0,No,Metropolitian,38,14,3,2022
35.0,5.0,12.986047,80.218114,13.006047,80.238114,Cloudy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,17,1,3,2022
39.0,4.3,12.297954,76.665169,12.307954,76.675169,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,34,11,3,2022
34.0,4.6,27.161661,78.011544,27.201661,78.051544,Stormy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,30,15,2,2022
35.0,4.6,23.357804,85.325146,23.387804,85.355146,Windy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,25,5,3,2022
25.0,4.5,26.902328,75.794257,26.912328,75.804257,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,24,19,3,2022
36.0,4.6,19.1813,72.836191,19.2713,72.926191,Sunny,Jam,0,Snack,motorcycle,1.0,No,,27,2,4,2022
22.0,5.0,10.96185,76.971082,11.01185,77.021082,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,10,3,4,2022
20.0,4.9,0.0,0.0,0.13,0.13,Windy,Low,1,Drinks,scooter,0.0,No,Urban,16,18,2,2022
39.0,4.9,0.0,0.0,0.11,0.11,Stormy,Low,0,Snack,motorcycle,1.0,No,Urban,21,14,2,2022
24.0,4.7,0.0,0.0,0.11,0.11,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,12,3,2022
37.0,3.5,19.875522,75.367127,19.955522,75.447127,Sandstorms,Jam,2,Buffet,motorcycle,2.0,No,Metropolitian,44,16,2,2022
