Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,City,Time_taken(min),Day_Ordered,Month_Ordered,Year_Ordered,Type_of_order_Buffet,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Festival_Yes
36.0,4.2,30.327968,78.046106,30.397968,78.116106,1,1,2,1,3.0,2,46,12,2,2022,0,0,0,1,0
21.0,4.7,10.003064,76.307589,10.043064,76.347589,5,2,1,1,1.0,2,23,13,2,2022,0,0,1,0,0
23.0,4.7,18.56245,73.916619,18.65245,74.006619,4,3,1,2,1.0,2,21,4,3,2022,0,1,0,0,0
34.0,4.3,30.899584,75.809346,30.919584,75.829346,4,4,0,1,0.0,2,20,13,2,2022,1,0,0,0,0
24.0,4.7,26.463504,80.372929,26.593504,80.502929,1,1,1,2,1.0,2,41,14,2,2022,0,0,0,1,0
29.0,4.5,19.176269,72.836721,19.266269,72.926721,4,1,2,3,1.0,2,20,2,4,2022,1,0,0,0,0
35.0,4.0,12.311072,76.654878,12.351072,76.694878,3,2,1,2,1.0,2,33,1,3,2022,0,0,1,0,0
33.0,4.2,18.592718,73.773572,18.702718,73.883572,4,1,2,1,1.0,2,40,16,3,2022,0,0,0,1,0
21.0,4.7,22.552672,88.352885,22.582672,88.382885,3,1,0,1,1.0,3,15,15,2,2022,0,0,1,0,0
25.0,4.1,18.563934,73.915367,18.643935,73.995367,4,1,0,1,2.0,2,36,16,3,2022,0,0,0,1,0
31.0,4.7,23.357804,85.325146,23.487804,85.455146,4,4,2,3,0.0,2,26,10,3,2022,0,0,1,0,0
37.0,5.0,11.003669,76.976494,11.013669,76.986494,4,4,1,1,1.0,2,20,11,3,2022,0,0,0,1,0
33.0,4.3,12.986047,80.218114,13.116047,80.348114,3,1,2,2,1.0,2,39,27,3,2022,0,0,1,0,0
25.0,4.0,19.221315,72.862381,19.261315,72.902381,2,2,1,1,1.0,2,34,26,3,2022,1,0,0,0,0
29.0,4.5,13.005801,80.250744,13.115801,80.360744,6,3,2,3,1.0,2,15,27,3,2022,0,0,1,0,0
27.0,5.0,26.849596,75.800512,26.879596,75.830512,5,1,0,1,0.0,3,18,5,4,2022,0,0,0,1,0
35.0,4.3,21.160522,72.771477,21.250522,72.861477,2,4,1,2,0.0,2,38,12,3,2022,0,1,0,0,0
32.0,4.0,12.934179,77.615797,13.024179,77.705797,3,1,0,1,1.0,2,47,16,3,2022,1,0,0,0,0
23.0,4.8,18.51421,73.838429,18.62421,73.948429,3,4,2,3,0.0,3,12,2,4,2022,1,0,0,0,0
31.0,4.8,11.022477,76.995667,11.052477,77.025667,4,4,2,1,1.0,2,26,1,4,2022,0,1,0,0,0
36.0,4.1,21.160437,72.774209,21.210437,72.824209,5,4,0,1,1.0,3,22,5,3,2022,0,1,0,0,0
26.0,4.3,15.51315,73.78346,15.56315,73.83346,4,4,0,1,0.0,3,21,11,2,2022,1,0,0,0,0
38.0,4.9,15.561295,73.749478,15.601295,73.789478,2,2,1,2,1.0,3,25,11,2,2022,0,1,0,0,0
32.0,3.5,0.0,0.0,0.11,0.11,5,1,1,2,0.0,3,35,8,3,2022,0,0,0,1,0
32.0,4.6,18.563934,73.915367,18.693935,74.045367,2,4,2,2,1.0,2,30,2,4,2022,0,1,0,0,0
33.0,4.9,18.55144,73.804855,18.62144,73.874855,6,3,1,1,1.0,2,22,8,3,2022,0,0,0,1,0
20.0,4.7,18.593481,73.785901,18.633481,73.825901,3,2,1,2,0.0,3,10,3,4,2022,0,0,0,1,0
20.0,4.8,21.173343,72.792731,21.183343,72.802731,4,4,2,2,1.0,2,19,30,3,2022,0,0,1,0,0
35.0,5.0,17.451976,78.385883,17.471976,78.405883,6,4,2,2,1.0,3,11,1,4,2022,0,0,0,1,0
26.0,4.9,12.972532,77.608179,12.992532,77.628179,5,4,2,2,0.0,2,11,28,3,2022,1,0,0,0,0
22.0,4.8,12.972532,77.608179,13.042532,77.678179,1,4,1,1,1.0,2,28,18,3,2022,0,0,0,1,0
